"local.anomaly","resid","res.color","res.color2"
2.657605,-0.243676705493702,"#08306B","#08306B"
0.9627084,0.294285375252431,"#08306B","#08306B"
1.454177,-0.352660850279878,"#08306B","#08306B"
0.830677,0.588406546446867,"#08306B","#08306B"
0.6156732,0.542251586642231,"#08306B","#08306B"
-1.431856,-0.651612157651793,"#08306B","#08306B"
1.14325,0.192724061475396,"#08306B","#08306B"
2.430748,0.47562350761677,"#08306B","#08306B"
1.540991,-2.4463869730319,"#08306B","#08306B"
-4.278159,0.793891642017772,"#08306B","#08306B"
-2.657784,0.467027025107304,"#08306B","#08306B"
0.4884709,0.442864609929126,"#08306B","#08306B"
0.8676668,0.146269135304902,"#08519C","#08306B"
0.8035718,-0.294686625548235,"#08519C","#08306B"
-4.356629,0.825583850739035,"#08519C","#08306B"
2.545113,0.518513778651567,"#08519C","#08306B"
1.744145,-0.244655991424708,"#08519C","#08306B"
0.5074614,0.977257093508137,"#08519C","#08306B"
2.532382,-0.403222527568749,"#08519C","#08306B"
1.169265,-0.724388135428676,"#08519C","#08306B"
1.515202,0.458484900467832,"#08519C","#08306B"
-2.79947,0.679344140966598,"#08519C","#08306B"
-1.582323,0.265112684023217,"#08519C","#08306B"
1.061159,-2.03504217727428,"#08519C","#08306B"
-0.03951548,-0.395600550274068,"#2171B5","#08306B"
-7.051119,0.183400738707682,"#2171B5","#08306B"
-4.869912,0.259970013554761,"#2171B5","#08306B"
2.598698,0.172579045062577,"#2171B5","#08306B"
-3.351276,0.199590183072343,"#2171B5","#08306B"
1.137243,-0.109997004675986,"#2171B5","#08306B"
0.4175742,-0.443486743143012,"#4292C6","#4292C6"
1.387231,-0.509542402527591,"#4292C6","#4292C6"
2.43152,1.2128257344538,"#4292C6","#4292C6"
-0.4181857,0.042350393891308,"#4292C6","#4292C6"
-4.940399,0.253816461594833,"#4292C6","#4292C6"
-1.461816,-0.616908760823853,"#4292C6","#4292C6"
2.566405,0.383807789848542,"#4292C6","#4292C6"
-4.194416,0.339315531370904,"#4292C6","#4292C6"
1.883419,-0.0801273989947644,"#4292C6","#4292C6"
0.7983032,-0.708986228125727,"#4292C6","#4292C6"
2.829919,0.0982756605923376,"#4292C6","#4292C6"
-4.914189,-0.289952996744384,"#4292C6","#4292C6"
2.364002,0.0130077089227559,"#4292C6","#4292C6"
2.648259,-0.635628408048873,"#4292C6","#4292C6"
1.07376,0.251144443596342,"#4292C6","#4292C6"
1.687492,0.101596268450603,"#4292C6","#4292C6"
-4.005444,0.34033428583751,"#4292C6","#4292C6"
-4.005444,0.0222185145103813,"#4292C6","#4292C6"
-3.314666,-0.561288155368084,"#4292C6","#4292C6"
-6.962816,0.724655816769545,"#4292C6","#4292C6"
2.364002,-0.124959616695722,"#4292C6","#4292C6"
-4.914189,-0.0767103921681903,"#4292C6","#4292C6"
2.648259,-0.0494762644541807,"#4292C6","#4292C6"
1.687492,0.621064321169252,"#4292C6","#4292C6"
1.07376,0.150730265660491,"#4292C6","#4292C6"
-0.1152914,-0.716600696494608,"#4292C6","#4292C6"
1.116453,-0.42381522289632,"#4292C6","#4292C6"
2.364002,-0.272076742676935,"#4292C6","#4292C6"
-4.914189,0.230531768076322,"#4292C6","#4292C6"
-4.005444,0.156123542654636,"#4292C6","#4292C6"
1.687492,0.195670690037121,"#4292C6","#4292C6"
2.648259,0.161888748381332,"#4292C6","#4292C6"
1.07376,0.501985902920182,"#4292C6","#4292C6"
1.116453,-0.717481264310148,"#4292C6","#4292C6"
-3.314666,-0.34601588950903,"#4292C6","#4292C6"
0.09787502,-0.40715410482909,"#6BAED6","#4292C6"
0.04914523,0.558000237370413,"#6BAED6","#4292C6"
1.102653,0.203782016486955,"#6BAED6","#4292C6"
2.383785,0.598682488682,"#6BAED6","#4292C6"
1.693117,1.50994123422151,"#6BAED6","#4292C6"
-4.001574,-0.61369551147742,"#6BAED6","#4292C6"
-4.894625,0.076341715873883,"#6BAED6","#4292C6"
-1.543683,-0.645453227807636,"#6BAED6","#4292C6"
2.410236,0.069681689610352,"#6BAED6","#4292C6"
-0.1710169,-0.357807043991323,"#6BAED6","#4292C6"
-6.975738,-1.01278336867054,"#6BAED6","#4292C6"
1.302072,-0.151489246592079,"#6BAED6","#4292C6"
2.341751,-0.392401234306508,"#6BAED6","#4292C6"
2.650153,-0.135013428729133,"#6BAED6","#4292C6"
1.033619,0.0265472622131182,"#6BAED6","#4292C6"
0.9759992,-0.501832012053086,"#6BAED6","#4292C6"
0.582539,0.29342848444065,"#6BAED6","#4292C6"
-3.367209,0.939322483719132,"#6BAED6","#4292C6"
2.883671,-0.173261386096949,"#6BAED6","#4292C6"
0.008722285,0.110397091858031,"#6BAED6","#4292C6"
2.409543,-0.478587978547713,"#6BAED6","#4292C6"
2.498442,0.207012251834989,"#6BAED6","#4292C6"
-3.231809,0.532689552256917,"#6BAED6","#4292C6"
-7.052818,-0.932126040706377,"#6BAED6","#4292C6"
-5.015715,0.275456976971849,"#6BAED6","#4292C6"
1.840151,0.761549501821336,"#6BAED6","#4292C6"
1.295891,0.621574546749732,"#6BAED6","#4292C6"
-4.182479,-0.363704108577902,"#6BAED6","#4292C6"
1.038853,-0.820058202588377,"#6BAED6","#4292C6"
1.789802,-0.933202430541864,"#6BAED6","#4292C6"
2.459617,-0.0766210836653736,"#6BAED6","#4292C6"
-1.572115,-0.539020084344408,"#6BAED6","#4292C6"
-4.189147,0.510681492006359,"#6BAED6","#4292C6"
-4.950495,0.345876531748227,"#6BAED6","#4292C6"
2.751557,0.393615987027838,"#6BAED6","#4292C6"
2.409899,0.00588487510619584,"#6BAED6","#4292C6"
0.01230622,0.470483286895127,"#6BAED6","#4292C6"
-4.094826,-0.861492466741564,"#6BAED6","#4292C6"
0.5494315,-0.389382281691873,"#6BAED6","#4292C6"
2.756932,0.185557913993146,"#9ECAE1","#4292C6"
1.361986,-0.767772129094624,"#9ECAE1","#4292C6"
2.427018,-0.386028801177526,"#9ECAE1","#4292C6"
-4.990777,-0.211686464473739,"#9ECAE1","#4292C6"
-0.1162607,0.715574205694285,"#9ECAE1","#4292C6"
0.8525184,-1.00432268765804,"#9ECAE1","#4292C6"
-1.623482,-0.328809498481288,"#9ECAE1","#4292C6"
1.808457,0.36054443299596,"#9ECAE1","#4292C6"
0.4366689,0.806554844349788,"#9ECAE1","#4292C6"
-4.185309,-0.18566422148822,"#9ECAE1","#4292C6"
2.418018,0.829080050340276,"#9ECAE1","#4292C6"
0.9088322,-1.14093207033479,"#9ECAE1","#4292C6"
-4.838211,0.393346729121192,"#9ECAE1","#4292C6"
0.4351434,-0.981651730111329,"#9ECAE1","#4292C6"
1.675668,0.585512454487766,"#9ECAE1","#4292C6"
-4.250051,0.19127252055697,"#9ECAE1","#4292C6"
1.291537,-2.359880570553,"#9ECAE1","#4292C6"
1.400301,2.0466451615431,"#9ECAE1","#4292C6"
2.604497,1.88851477942628,"#9ECAE1","#4292C6"
2.506379,0.271188367416119,"#9ECAE1","#4292C6"
2.398384,0.150568159332801,"#9ECAE1","#4292C6"
-1.48222,-0.796993795053589,"#9ECAE1","#4292C6"
-0.2564026,0.422779867467111,"#9ECAE1","#4292C6"
1.371054,0.669570055431306,"#9ECAE1","#4292C6"
2.514558,0.111223533435605,"#9ECAE1","#4292C6"
0.5341963,-0.652365036276677,"#9ECAE1","#4292C6"
-4.574311,0.371345225097756,"#9ECAE1","#4292C6"
-1.676863,-0.410721536876407,"#9ECAE1","#4292C6"
2.147877,-0.539401091494356,"#9ECAE1","#4292C6"
1.781196,0.838791293500813,"#9ECAE1","#4292C6"
0.7596265,-0.467400775416285,"#9ECAE1","#4292C6"
-3.660847,-0.084102673841441,"#9ECAE1","#4292C6"
0.6846927,-0.309053071134392,"#9ECAE1","#4292C6"
1.054008,-0.676630929590189,"#9ECAE1","#4292C6"
1.061471,-0.385373686260275,"#9ECAE1","#4292C6"
2.64475,0.122869121804364,"#9ECAE1","#4292C6"
-1.836196,0.00024577085406159,"#9ECAE1","#4292C6"
-4.646611,0.173016323244165,"#9ECAE1","#4292C6"
0.08599664,0.565803558661966,"#9ECAE1","#4292C6"
1.355496,0.978621462436707,"#9ECAE1","#4292C6"
-4.060536,-0.547711923573757,"#9ECAE1","#4292C6"
2.046932,0.418912547708437,"#9ECAE1","#4292C6"
1.253408,-0.265762849459847,"#DEEBF7","#C6DBEF"
1.117755,-0.377620246683818,"#DEEBF7","#C6DBEF"
0.8321807,0.738398209262767,"#DEEBF7","#C6DBEF"
-0.2179245,-0.175932746248373,"#DEEBF7","#C6DBEF"
-1.725585,-0.211420962346495,"#DEEBF7","#C6DBEF"
0.6597607,-0.632521245882719,"#DEEBF7","#C6DBEF"
1.115889,-0.148390220886363,"#DEEBF7","#C6DBEF"
-2.834956,0.499912372393302,"#DEEBF7","#C6DBEF"
1.481253,0.658932623190961,"#DEEBF7","#C6DBEF"
2.35784,0.248764354377478,"#DEEBF7","#C6DBEF"
-4.017093,0.399336616375076,"#DEEBF7","#C6DBEF"
-0.2593009,-0.301896506046265,"#DEEBF7","#C6DBEF"
2.527846,-0.464396581000605,"#DEEBF7","#C6DBEF"
-6.151326,0.353929657302785,"#DEEBF7","#C6DBEF"
1.626016,-0.419412749669207,"#DEEBF7","#C6DBEF"
2.411509,0.155318758867733,"#DEEBF7","#C6DBEF"
-4.63291,-0.0268885358690098,"#DEEBF7","#C6DBEF"
0.4117216,0.151364975339376,"#DEEBF7","#C6DBEF"
-2.907268,0.164990130535172,"#DEEBF7","#C6DBEF"
1.759379,-0.224057088943247,"#DEEBF7","#C6DBEF"
2.466729,0.0691121853497009,"#DEEBF7","#C6DBEF"
2.480777,0.592716075439719,"#DEEBF7","#C6DBEF"
2.431837,0.470195513024242,"#DEEBF7","#C6DBEF"
1.147302,-0.0717680039581514,"#DEEBF7","#C6DBEF"
2.466519,0.0630330976211737,"#DEEBF7","#C6DBEF"
-4.359275,-1.31405779277872,"#DEEBF7","#C6DBEF"
1.093853,-0.204321395530681,"#DEEBF7","#C6DBEF"
1.422889,-0.0843572945512583,"#DEEBF7","#C6DBEF"
-1.724024,-0.578340282952152,"#DEEBF7","#C6DBEF"
0.580544,0.771335966644533,"#DEEBF7","#C6DBEF"
-0.2341436,0.695135429446547,"#DEEBF7","#C6DBEF"
2.321866,-0.0207058173004561,"#DEEBF7","#C6DBEF"
-4.259401,0.40919078236002,"#DEEBF7","#C6DBEF"
-3.649251,0.63204320380162,"#DEEBF7","#C6DBEF"
2.434072,0.159537967815134,"#DEEBF7","#C6DBEF"
-1.656926,-0.0064562042905183,"#DEEBF7","#C6DBEF"
1.13944,0.271429258181418,"#DEEBF7","#C6DBEF"
1.176646,-0.30189370140227,"#DEEBF7","#C6DBEF"
0.211159,0.377740150622007,"#DEEBF7","#C6DBEF"
2.256932,0.391319879231644,"#DEEBF7","#C6DBEF"
-5.13968,0.285469603133204,"#DEEBF7","#C6DBEF"
0.7650763,-1.20552356200193,"#DEEBF7","#C6DBEF"
1.920214,-0.541490105140436,"#DEEBF7","#C6DBEF"
1.85695,-0.331225647225075,"#F7FBFF","#DEEBF7"
0.4722115,-0.562147260748791,"#F7FBFF","#DEEBF7"
-1.688143,-0.533391651657948,"#F7FBFF","#DEEBF7"
0.2175873,-0.458260210685975,"#F7FBFF","#DEEBF7"
0.4911986,1.04773039645376,"#F7FBFF","#DEEBF7"
1.211939,-0.773653384060691,"#F7FBFF","#DEEBF7"
-4.870287,0.892927005513842,"#F7FBFF","#DEEBF7"
2.40099,0.225636929268167,"#F7FBFF","#DEEBF7"
1.178355,0.560950550309623,"#F7FBFF","#DEEBF7"
-2.521379,-0.0139677791606648,"#F7FBFF","#DEEBF7"
-0.3155869,-0.212904487581549,"#F7FBFF","#DEEBF7"
-6.003145,-0.393602570086872,"#F7FBFF","#DEEBF7"
1.248596,0.0355639250801766,"#F7FBFF","#DEEBF7"
0.6261933,-0.181349359331025,"#F7FBFF","#DEEBF7"
-3.688369,0.210891422168238,"#F7FBFF","#DEEBF7"
2.37882,0.529570451608585,"#F7FBFF","#DEEBF7"
-2.505127,-0.468874310420628,"#F7FBFF","#DEEBF7"
-6.055378,0.356785665757321,"#F7FBFF","#DEEBF7"
-3.8216,-0.94189762977641,"#F7FBFF","#DEEBF7"
1.357807,0.312354410471101,"#F7FBFF","#DEEBF7"
1.192631,0.843756444274432,"#F7FBFF","#DEEBF7"
-0.2972498,0.26294129904746,"#F7FBFF","#DEEBF7"
3.004853,-0.00239141186104447,"#F7FBFF","#DEEBF7"
0.6210435,-0.154722697319564,"#F7FBFF","#DEEBF7"
2.402535,0.625247026971195,"#F7FBFF","#DEEBF7"
0.5290715,-0.586371381451705,"#F7FBFF","#DEEBF7"
2.425363,-0.310283393861775,"#F7FBFF","#DEEBF7"
2.463351,-0.985019686797705,"#F7FBFF","#DEEBF7"
2.934844,0.800928067743466,"#F7FBFF","#DEEBF7"
0.5736441,0.0677874695065716,"#F7FBFF","#DEEBF7"
-3.76221,-0.644057108071931,"#F7FBFF","#DEEBF7"
1.139085,0.193914192704583,"#F7FBFF","#DEEBF7"
-0.269579,-1.37519817396109,"#F7FBFF","#DEEBF7"
0.5153658,0.829047519006907,"#F7FBFF","#DEEBF7"
-1.736741,-0.287321458853494,"#F7FBFF","#DEEBF7"
-4.771927,0.798574041839425,"#F7FBFF","#DEEBF7"
1.210204,-0.133962725196764,"#F7FBFF","#DEEBF7"
-5.954722,-0.836724275703653,"#F7FBFF","#DEEBF7"
1.290104,0.596357076724495,"#F7FBFF","#DEEBF7"
2.3795,0.078050527402648,"#F7FBFF","#DEEBF7"
1.846326,1.13148115495585,"#F7FBFF","#DEEBF7"
0.5384137,-0.342186763263514,"#F7FBFF","#DEEBF7"
-2.468456,-0.0285215687651892,"#F7FBFF","#DEEBF7"
0.219036,0.213171096267621,"#F7FBFF","#DEEBF7"
0.4090164,-0.0513652199990303,"#F7FBFF","#DEEBF7"
0.4584195,-0.556823076659528,"#FFFFBFFF","#FFFFBFFF"
1.251267,0.457353439586102,"#FFFFBFFF","#FFFFBFFF"
-6.031863,-0.544360927763887,"#FFFFBFFF","#FFFFBFFF"
-4.01221,-0.19977798034863,"#FFFFBFFF","#FFFFBFFF"
0.1851376,0.259332773171626,"#FFFFBFFF","#FFFFBFFF"
1.24534,-0.805838094540667,"#FFFFBFFF","#FFFFBFFF"
-0.3593411,-0.193704306141869,"#FFFFBFFF","#FFFFBFFF"
2.719965,-0.474031610187714,"#FFFFBFFF","#FFFFBFFF"
2.050589,0.507327240912347,"#FFFFBFFF","#FFFFBFFF"
2.380503,0.396308059740266,"#FFFFBFFF","#FFFFBFFF"
0.8412338,0.00968570686691775,"#FFFFBFFF","#FFFFBFFF"
-1.500101,-0.137765402640485,"#FFFFBFFF","#FFFFBFFF"
0.4535905,0.231016459588165,"#FFFFBFFF","#FFFFBFFF"
-4.014625,0.17353401931516,"#FFFFBFFF","#FFFFBFFF"
0.3078401,0.462013309468854,"#FFFFBFFF","#FFFFBFFF"
0.7078854,-0.588727139845286,"#FFFFBFFF","#FFFFBFFF"
2.423635,0.642592876098782,"#FFFFBFFF","#FFFFBFFF"
-2.472831,0.585894032472222,"#FFFFBFFF","#FFFFBFFF"
1.180999,-0.46686737518861,"#FFFFBFFF","#FFFFBFFF"
-1.581344,0.342969698904349,"#FFFFBFFF","#FFFFBFFF"
1.086283,0.142247728108906,"#FFFFBFFF","#FFFFBFFF"
-3.978213,0.409002442038138,"#FFFFBFFF","#FFFFBFFF"
2.449291,-0.218399496778405,"#FFFFBFFF","#FFFFBFFF"
0.2051959,0.925421788014415,"#FFFFBFFF","#FFFFBFFF"
-4.065905,0.235303645996386,"#FFFFBFFF","#FFFFBFFF"
0.1674413,0.109920534196023,"#FFFFBFFF","#FFFFBFFF"
0.2075007,-1.25699971990557,"#FFFFBFFF","#FFFFBFFF"
1.951567,0.331520088983828,"#FFFFBFFF","#FFFFBFFF"
2.258762,-0.228623014984954,"#FFFFBFFF","#FFFFBFFF"
0.5234761,-0.0837736554928701,"#FFFFBFFF","#FFFFBFFF"
2.467535,0.235810576360735,"#FFFF00FF","#FFD500FF"
2.259995,-0.643514608641782,"#FFFF00FF","#FFD500FF"
-5.659805,0.0864637916300315,"#FFFF00FF","#FFD500FF"
-0.1892265,-0.651995961051111,"#FFFF00FF","#FFD500FF"
0.08482375,0.802509562061361,"#FFFF00FF","#FFD500FF"
1.428076,-0.130873331028107,"#FFFF00FF","#FFD500FF"
-2.204818,0.170799023070897,"#FFFF00FF","#FFD500FF"
-1.694692,-0.0836062122576915,"#FFFF00FF","#FFD500FF"
-3.479695,-0.209812248711791,"#FFFF00FF","#FFD500FF"
1.179159,-0.00881323499714132,"#FFFF00FF","#FFD500FF"
0.4337247,0.240918776900956,"#FFFF00FF","#FFD500FF"
0.9096085,0.127366187394473,"#FFFF00FF","#FFD500FF"
1.088286,0.179635132685829,"#FFFF00FF","#FFD500FF"
-0.01746379,0.270395267331943,"#FFFF00FF","#FFD500FF"
0.8980857,0.147977752943536,"#FFFF00FF","#FFD500FF"
-5.672974,-0.0279504683640586,"#FFFF00FF","#FFD500FF"
-0.1798965,-1.04481108011128,"#FFFF00FF","#FFD500FF"
-2.23895,0.605959597047086,"#FFFF00FF","#FFD500FF"
2.440757,0.385454690040536,"#FFFF00FF","#FFD500FF"
2.264715,-0.377860321456632,"#FFFF00FF","#FFD500FF"
0.2107102,0.0522010425730708,"#FFFF00FF","#FFD500FF"
2.967566,0.132051224762912,"#FFFF00FF","#FFD500FF"
-1.695387,-0.00378211430013661,"#FFFF00FF","#FFD500FF"
-0.1683001,-0.788444871456961,"#FFFF00FF","#FFD500FF"
1.063115,0.877666463220891,"#FFFF00FF","#FFD500FF"
0.4666141,-0.135676636012867,"#FFFF00FF","#FFD500FF"
-5.714058,-1.30665076072187,"#FFFF00FF","#FFD500FF"
0.02563135,0.940308107873371,"#FFFF00FF","#FFD500FF"
2.413172,0.608059565637008,"#FFFF00FF","#FFD500FF"
1.534389,0.20300846590352,"#FFFF00FF","#FFD500FF"
2.271043,-0.501481492987624,"#FFFF00FF","#FFD500FF"
0.9105601,-0.616729727117917,"#FFFF00FF","#FFD500FF"
-3.358675,0.435720742582451,"#FFFF00FF","#FFD500FF"
-2.269389,0.0247696385786027,"#FFFF00FF","#FFD500FF"
-1.70566,0.188435063885471,"#FFFF00FF","#FFD500FF"
-4.431566,0.626954073319439,"#FFFF00FF","#FFD500FF"
2.489492,1.04447726351214,"#FFFF00FF","#FFD500FF"
1.383962,-0.144970429126272,"#FFFF00FF","#FFD500FF"
0.395867,-0.98448750889698,"#FFFF00FF","#FFD500FF"
0.4269267,-0.950810447503848,"#FFFF00FF","#FFD500FF"
1.746692,0.468445465697826,"#FFFF00FF","#FFD500FF"
-3.507785,-0.1852639035834,"#FFFF00FF","#FFD500FF"
2.270208,-0.215611780153106,"#FFFF00FF","#FFD500FF"
0.2201543,0.151414131590437,"#FFFF00FF","#FFD500FF"
0.9426504,-0.211964025593695,"#FFFF00FF","#FFD500FF"
0.0556364,-0.00908857815571257,"#FFFF00FF","#FFD500FF"
-1.720498,-0.559108254641902,"#FFFF00FF","#FFD500FF"
3.005305,0.623082516922227,"#FFFF00FF","#FFD500FF"
0.3168251,-0.634365556387774,"#FFFF00FF","#FFD500FF"
1.704856,0.244229810051963,"#FFFF00FF","#FFD500FF"
-4.234033,0.795372678847668,"#FFFF00FF","#FFD500FF"
0.4386496,-0.640707720355002,"#FFFF00FF","#FFD500FF"
0.09378731,-0.616912566152856,"#FFFF00FF","#FFD500FF"
2.292006,-0.571074666750106,"#FFFF00FF","#FFD500FF"
-6.179955,-0.764650005936327,"#FFFF00FF","#FFD500FF"
0.06184954,0.792480970247127,"#FFFF00FF","#FFD500FF"
-3.031395,0.542600289103581,"#FFFF00FF","#FFD500FF"
0.2837427,-0.0014060398086726,"#FFFF00FF","#FFD500FF"
0.2678287,-0.940254016707361,"#FFFF00FF","#FFD500FF"
1.621398,-0.200915158441019,"#FFFF00FF","#FFD500FF"
0.455175,0.503936593057378,"#FFFF00FF","#FFD500FF"
-1.644349,-0.191838381111528,"#FFFF00FF","#FFD500FF"
-0.1967229,-1.37147746731657,"#FFFF00FF","#FFD500FF"
1.037546,0.510319664995197,"#FFFF00FF","#FFD500FF"
0.8811496,1.07235060328287,"#FFFF00FF","#FFD500FF"
2.314947,-0.417759497895644,"#FFFF00FF","#FFD500FF"
-3.69572,0.439700260544049,"#FFFF00FF","#FFD500FF"
0.6235621,-0.582874290808597,"#FFFF00FF","#FFD500FF"
-0.269598,0.529024178716142,"#FFFF00FF","#FFD500FF"
-2.290787,0.338091842800035,"#FFFF00FF","#FFD500FF"
2.098626,-0.565333260389219,"#FFFF00FF","#FFD500FF"
-3.924333,0.646090846214943,"#FFFF00FF","#FFD500FF"
1.426177,-0.363416391589458,"#FFFF00FF","#FFD500FF"
1.851355,0.0988271649920458,"#FFFF00FF","#FFD500FF"
-5.494442,-0.126747177583223,"#FFFF00FF","#FFD500FF"
1.326572,-0.717423487137683,"#FFFF00FF","#FFD500FF"
-0.2030393,0.271030134947752,"#FFFF00FF","#FFD500FF"
1.0264,0.188660026756631,"#FFFF00FF","#FFD500FF"
-3.606443,0.174547735462682,"#FFFF00FF","#FFD500FF"
-2.244862,0.330362115354738,"#FFFF00FF","#FFD500FF"
2.281412,0.359808795265802,"#FFFF00FF","#FFD500FF"
1.847673,0.237834402093508,"#FFFF00FF","#FFD500FF"
-1.638593,0.0675976678724549,"#FFFF00FF","#FFD500FF"
-3.880164,0.644352922719486,"#FFFF00FF","#FFD500FF"
0.8689065,0.866013831553526,"#FFFF00FF","#FFD500FF"
-0.1775769,-1.43456890028856,"#FFFF00FF","#FFD500FF"
0.5782837,-0.858696072466603,"#FFFF00FF","#FFD500FF"
2.015154,0.32603059795641,"#FFFF00FF","#FFD500FF"
-5.404836,-0.633951831507327,"#FFFF00FF","#FFD500FF"
-3.606443,0.0559566701854251,"#FFFF00FF","#FFD500FF"
-0.2030393,0.79196649041052,"#FFFF00FF","#FFD500FF"
2.281412,0.120994612525151,"#FFFF00FF","#FFD500FF"
0.5782837,-0.325061323698003,"#FFFF00FF","#FFD500FF"
-1.638593,-0.332680869355345,"#FFFF00FF","#FFD500FF"
2.015154,0.394600267421056,"#FFFF00FF","#FFD500FF"
1.847673,-0.0266175652620962,"#FFFF00FF","#FFD500FF"
-3.880164,0.308806605315424,"#FFFF00FF","#FFD500FF"
-5.404836,-0.827385501510247,"#FFFF00FF","#FFD500FF"
1.0264,0.369057665400976,"#FFFF00FF","#FFD500FF"
-2.244862,-0.283315942359471,"#FFFF00FF","#FFD500FF"
-1.638593,-0.0140390499150595,"#FFFF00FF","#FFD500FF"
-3.880164,0.874531502871339,"#FFFF00FF","#FFD500FF"
-0.2030393,0.307694896075759,"#FFFF00FF","#FFD500FF"
-2.244862,-0.233495124550426,"#FFFF00FF","#FFD500FF"
-5.404836,-0.328596731660998,"#FFFF00FF","#FFD500FF"
1.847673,-0.070003973050949,"#FFFF00FF","#FFD500FF"
0.5782837,-1.29386648449094,"#FFFF00FF","#FFD500FF"
-3.606443,0.530493173386256,"#FFFF00FF","#FFD500FF"
1.0264,-0.35885359417773,"#FFFF00FF","#FFD500FF"
2.015154,0.121632944148881,"#FFFF00FF","#FFD500FF"
2.281412,0.396131275436565,"#FFFF00FF","#FFD500FF"
0.9242832,0.0137241380644617,"#FFFF00FF","#FFD500FF"
1.99151,-0.415763692696985,"#FFFF00FF","#FFD500FF"
0.6136857,-1.21480379724519,"#FFFF00FF","#FFD500FF"
-3.843993,0.506957098966827,"#FFFF00FF","#FFD500FF"
-0.06139766,0.552524017547138,"#FFFF00FF","#FFD500FF"
2.385958,0.57863866184726,"#FFFF00FF","#FFD500FF"
-5.639313,-1.10153907414436,"#FFFF00FF","#FFD500FF"
2.132431,0.624344186687331,"#FFFF00FF","#FFD500FF"
-3.744997,-0.210594448693302,"#FFFF00FF","#FFD500FF"
1.15103,0.596696635263878,"#FFFF00FF","#FFD500FF"
2.811685,0.0692256628148479,"#FFFF00FF","#FFD500FF"
-2.271909,-0.347462825965115,"#FFFF00FF","#FFD500FF"
-0.2597192,-0.329966242114473,"#FFFF00FF","#FFD500FF"
-1.595069,0.892225604887668,"#FFFF00FF","#FFD500FF"
0.5998569,-0.0511576125128683,"#FFFF00FF","#FFD500FF"
1.233335,-0.0206430921437383,"#FFD500FF","#FFD500FF"
-4.839013,0.986729138609163,"#FFD500FF","#FFD500FF"
2.058449,-0.374424281065197,"#FFD500FF","#FFD500FF"
2.373217,0.55009336937278,"#FFD500FF","#FFD500FF"
1.867042,-1.27423290429121,"#FFD500FF","#FFD500FF"
-2.842189,-0.21691848346538,"#FFD500FF","#FFD500FF"
0.9520405,0.573005597409134,"#FFD500FF","#FFD500FF"
3.02185,-1.25534754207243,"#FFD500FF","#FFD500FF"
-5.461525,-0.48012863577753,"#FFD500FF","#FFD500FF"
0.3952696,-0.184140332128287,"#FFD500FF","#FFD500FF"
-3.357583,-0.0305782332696232,"#FFD500FF","#FFD500FF"
-0.1330755,0.709255742871572,"#FFD500FF","#FFD500FF"
-1.75378,-0.0812976793579168,"#FFD500FF","#FFD500FF"
